DGsZLJx0mbY	1.4	AP Archive	US government leak crackdown snags ex-CIA officer
nxhsU5oCt4c	2.5	Al Jazeera English	Ex-CIA agent heads to prison for torture leak
FdnU_2u_FY4	5.0	Channel 4 News	CIA whistleblower faces jail term
cMncTyJAdQg	1.9	JewishNewsOne	Former CIA officer sentenced for leaks
OXDE74alvzA	6.5	The Young Turks	CIA Agent Charged With Espionage Act by Justice Department
0hBoeUZ_3dc	8.2	The Young Turks	CIA Torture Whistleblower Gets 30 Months
HVtBEQIzLxk	4.4	The Young Turks	CIA Whistleblower's Tips On How Not to Get Killed in Jail
y1iSbvokFA0	32.9	The Young Turks	Former CIA Agent Explains Why We Need To Break Up With Israel IMMEDIATELY
gpkfBmA2oH4	1.0	Government Accountability Project	GAP's Jesselyn Radack on NSA Whistleblower Tom Drake and CIA Whistleblower John Kiriakou
Tk9q6OCiFXY	24.2	TeleSUR English	Interviews from Washington DC - Whistleblower Denounces CIA Torture
CcFmxrqBjb4	6.6	The Real News Network	Intelligence Agencies Are Gathering Information Against You in Case of Your Dissent
YfzSoVAuSwY	8.6	The Real News Network	CIA Whistleblower: Harvard Picks Torture Apologists Over Chelsea Manning
B2pTbYqWYos	9.3	The Real News Network	CIA Whistleblower: John Brennan Is Out For Himself, Not the Resistance
Wqv5Spq3KH8	10.6	The Real News Network	CIA Torture Architects Settle With Victims to Avoid Trial
vhyQRc1vzkg	34.0	The Real News Network	We don't need the CIA - The Chris Hedges Report
r2oKRg0cVw4	9.1	CGTN America	The Heat: Crackdown on whistleblowers in the US Pt2
6DYjq-aDLKA	2.0	CGTN America	Assange: political prisoner or criminal?
gCNk9IqON4k	53.2	TRT World	20 Years After 9/11 | Inside America with Ghida Fakry
ZpDc1hscfeQ	4.7	Democracy Now!	“She Tortured Just for the Sake of Torture”: CIA Whistleblower on Trump's New CIA Pick Gina Haspel
kcHBXm1aWIM	9.2	Democracy Now!	Profiting from Pardons: Giuliani Aide Told CIA Whistleblower a Trump Pardon Would Cost $2 Million
-ZzRSvKhSF4	6.8	Democracy Now!	CIA Whistleblower: Biden Intel Pick Avril Haines Approved Obama Drone Strike Kill List, Hid Torture
5-xgSQyOlg0	5.5	Democracy Now!	"Silenced" Film Explores the Human Toll of Obama's Crackdown on National Security Whistleblowers
MeMlE3ppJrs	2.8	Democracy Now!	If Gina Haspel Is Confirmed at CIA, the U.S. Would Be Giving Other Nations Green Light to Torture
wcFcnNBYlSI	3.6	Fox News	CIA whistleblower: 'All it takes is a signature' to get Epstein's flight logs
ZAUTVOgCVzA	3.6	Fox News	Former CIA whistleblower on Durham probing Brennan's role in Russia probe
SXfpRLeLH70	4.1	Fox News	CIA whistleblower: This is an insult to real whistleblowers
s6dLqOPSwu0	1.1	Fox News	CIA whistleblower on his life of espionage
egmGLaf76DM	4.6	Fox News	'YOU LIAR': Former CIA official calls Fauci's pardon 'unacceptable'
qHH5-GSoRRY	6.4	Fox Business	The whistleblower did not think this through: Former CIA whistleblower
62YZdb3Lj5o	8.9	LBC	CIA whistleblower on Epstein Files: Why no one will be brought to justice
kPCRVN3yjAA	4.5	Middle East Eye	Jeffrey Epstein was accused of being 'an access agent for the Israelis' says former CIA officer
m5jv4cA1oD0	13.7	Redacted	"The CIA is FINISHED as we know it" Trump is burning it down w CIA whistleblower John Kiriakou
ogmHpa7Zf54	4.2	The Global Pulse News	Pakistan's Nukes Under US Control? Ex-CIA Officer John Kiriakou's Explosive Claims
SbOKQqFcexU	58.3	Dialogue Works	John Kiriakou: Israel Humiliates Itself - Middle East on the Brink
7sKiso0Zyko	19.9	Neutrality Studies	This Is What They Don't Tell You About Iran | Harry Berger & John Kiriakou
