NEW:israeli-integration-into-us-agencies	2026-07-10-kiriakou-takes-ana-cenk-behind-the-curtain	35:05	A provision in the National Defense Authorization Act for 2027 — numbered 219, formerly 224 — would collocate Israeli personnel with the Pentagon and permit Five Eyes-style liaison with the CIA.	there's a provision in the National Defense Authorization Act for 2027 that collocates them with the Pentagon
NEW:israeli-integration-into-us-agencies	2026-07-10-kiriakou-takes-ana-cenk-behind-the-curtain	35:36	Two weeks before the interview NBC News reported the director of the Defense Intelligence Agency had sent an all-hands email warning that the Israelis were being unusually aggressive in trying to recruit assets inside DIA and that all employees should be extra careful.	the Israelis are being unusually aggressive right now in trying to recruit assets inside DIA
NEW:israeli-integration-into-us-agencies	2026-07-10-kiriakou-takes-ana-cenk-behind-the-curtain	36:07	The two positions cannot both hold: either Israel is ranked a critical counterintelligence threat alongside Russia, China, Cuba and North Korea, as it was when he served, or the services are joined at the hip.	either or were joined at the hip but it can't be both
NEW:israeli-integration-into-us-agencies	2026-07-10-kiriakou-takes-ana-cenk-behind-the-curtain	49:14	Israeli police and IDF personnel are already training American police departments, including in Atlanta at the facility known as Cop City, which he objects to on the ground that Israel has no respect for human rights, civil rights or civil liberties.	I don't want the Israelis training American police departments
NEW:israeli-integration-into-us-agencies	2026-07-10-kiriakou-takes-ana-cenk-behind-the-curtain	39:20	Merging militaries is something the United States does with its closest allies — the British, Canadians, Australians and New Zealanders — and Israel is a member of neither NATO nor the European Union.	Israel is not in NATO
NEW:israeli-integration-into-us-agencies	2026-07-10-kiriakou-takes-ana-cenk-behind-the-curtain	40:21	If Israel made good on its defence minister's statement that its next war would be against Turkey, and Turkey invoked Article 5, the United States would be treaty-bound to go to war with Israel — which it would not do, and Israel would thereby destroy NATO.	the Israelis then successfully destroy NATO
israeli-intelligence-in-united-states	2026-07-10-kiriakou-takes-ana-cenk-behind-the-curtain	34:33	When he joined the CIA the agency did not like the Israelis at all: they openly spied, brought gifts with listening devices embedded in them, and were barred from the headquarters building, so liaison meetings were held in rented space.	they were not allowed in the building
israeli-intelligence-in-united-states	2026-07-10-kiriakou-takes-ana-cenk-behind-the-curtain	38:48	Espionage of this kind by any other country would have the United States on the brink of war.	if it was any other country in the world we would be on the brink of war with them right now
f-35-israel-avionics	2026-07-10-kiriakou-takes-ana-cenk-behind-the-curtain	52:18	Offered the F-35 with slightly degraded avionics as the F-35I, Israel refused the degraded version; the Emiratis accepted the equivalent F-35E without objection.	the Emirates gladly took the F-35E
f-35-israel-avionics	2026-07-10-kiriakou-takes-ana-cenk-behind-the-curtain	52:48	Israel then sent its spies across the American defence sector to steal the avionics so that it could upgrade the F-35I itself once delivered.	the Israelis sent their spies all over the defense sector to steal the avionics
NEW:israeli-foreknowledge-of-9-11	2026-07-10-kiriakou-takes-ana-cenk-behind-the-curtain	43:29	Dozens of Israeli citizens were arrested by NYPD officers on and after 11 September 2001, mostly for photographing sensitive sites including the World Trade Center, or for comments about the attacks, and were held on suspicion of a national-security offence.	dozens of Israelis were Israeli citizens were arrested by NYPD officers on September 11th
NEW:israeli-foreknowledge-of-9-11	2026-07-10-kiriakou-takes-ana-cenk-behind-the-curtain	44:01	Israel eventually approached the United States, said the men were theirs and asked that they be released, which he says is the normal reciprocal practice between friendly services.	listen these are our guys just let them go
NEW:israeli-foreknowledge-of-9-11	2026-07-10-kiriakou-takes-ana-cenk-behind-the-curtain	41:23	He speculates the reason so many were in place is that Israel had advance warning of the attacks and did not pass it on — a policy decision, in his framing, taken because Israel wanted the United States to overreact.	I believe that the Israelis did know that they had infiltrated al-Qaeda but they didn't tell us
NEW:israeli-foreknowledge-of-9-11	2026-07-10-kiriakou-takes-ana-cenk-behind-the-curtain	41:56	On his account the calculation was that an attacked United States would launch a twenty-year war, kill two million Muslims and spend some six trillion dollars on defence — an extension of a pattern in which chaos in Iraq, Libya, Syria and now Iran serves Israeli interests.	it hasn't changed since 9/11
cofer-black	2026-07-10-kiriakou-takes-ana-cenk-behind-the-curtain	44:34	On 6 July 2001 Cofer Black walked unannounced into a meeting Kiriakou was hosting for a group of Middle Eastern intelligence officers and told them an attack on a massive scale was coming, closing with a plea for any sources inside al-Qaeda.	I'm begging you
cofer-black	2026-07-10-kiriakou-takes-ana-cenk-behind-the-curtain	45:04	The reason the plea was necessary is that the CIA had no sources inside al-Qaeda at all and depended on liaison services, which either did not have them or would not share.	the truth was we didn't have any sources inside al-Qaeda
october-7-attack	2026-07-10-kiriakou-takes-ana-cenk-behind-the-curtain	47:09	For two weeks before 7 October, Israelis living in settlements along the Gaza border reported that something was happening — kites, balloons, wind-speed checks, walkie-talkie chatter — and were told by Itamar Ben-Gvir that the next attack would come in the West Bank.	no nothing is happening in Gaza the next attack is going to be in the West Bank
october-7-attack	2026-07-10-kiriakou-takes-ana-cenk-behind-the-curtain	47:09	Asked whether October 7 was deliberately allowed through, Kiriakou accepts the framing: find plots all the time, and let one succeed for political reasons.	call me a conspiracy theorist but I think that's exactly what happened
anwar-al-awlaki	2026-07-10-kiriakou-takes-ana-cenk-behind-the-curtain	58:30	Kiriakou was one of a very small number of CIA officers who had met Anwar al-Awlaki, when Awlaki was imam of the mosque in Falls Church, Virginia; his CIA Arabic teacher took the class there to learn religious vocabulary, and Awlaki gave them a tour, took them to an Arabic bookshop and went to lunch with them.	I was one of a very small handful of CIA officers who had actually met Anoir Alaki
anwar-al-awlaki	2026-07-10-kiriakou-takes-ana-cenk-behind-the-curtain	59:32	On a 2011 trip to Yemen as senior investigator for the Senate Foreign Relations Committee under John Kerry, the FBI legal attache told him the Bureau knew Awlaki's location to within three feet twenty-four hours a day; asked why he was not arrested, the answer was that there had never been any intention of arresting him.	we know where Anoir Alaki is within 3 ft 24 hours a day
anwar-al-awlaki	2026-07-10-kiriakou-takes-ana-cenk-behind-the-curtain	1:00:04	He considers it plausible that Awlaki had once been a CIA asset who later self-radicalised, and was then killed at a time and place of the government's choosing.	I think he was probably a CIA asset at one time
anwar-al-awlaki	2026-07-10-kiriakou-takes-ana-cenk-behind-the-curtain	1:00:34	Awlaki was an American citizen born in Albuquerque, New Mexico, whose father was then Yemen's ambassador to the United States and later Yemen's minister of agriculture.	he was born in Albuquerque New Mexico
anwar-al-awlaki	2026-07-10-kiriakou-takes-ana-cenk-behind-the-curtain	1:00:34	He was killed without ever having been charged with a crime, forfeiting a constitutional right to face his accusers and be judged by a jury.	we murdered him in cold blood
anwar-al-awlaki	2026-07-10-kiriakou-takes-ana-cenk-behind-the-curtain	1:01:05	A week later the United States killed Awlaki's sixteen-year-old son and sixteen-year-old nephew as they sat at a cafe drinking tea, and later his eight-year-old daughter, none of whom had been charged with anything.	they were children and they had never been charged with any crime
rand-paul-eric-holder	2026-07-10-kiriakou-takes-ana-cenk-behind-the-curtain	1:01:37	The principle he takes from Eric Holder's answer to Rand Paul is that if the president dislikes a citizen's politics he may lawfully kill him, charged or not.	he can make you vapor with a missile
mike-pompeo	2026-07-10-kiriakou-takes-ana-cenk-behind-the-curtain	54:23	Asked whether the CIA now works for America or for Israel, Kiriakou says the only conclusion he can draw is that it works for Israel, pointing to Mike Pompeo — one of the foremost Zionists on Capitol Hill — as the point at which agency pushback against Israel stopped.	the only conclusion that I can draw is that it's working for Israel
mike-pompeo	2026-07-10-kiriakou-takes-ana-cenk-behind-the-curtain	54:53	The CIA is a policy support organisation rather than a policy organisation, historically capable of pushing back against Israel until a director arrived who might as well have headed Mossad.	it's supposed to do what the president tells it to do
aipac	2026-07-10-kiriakou-takes-ana-cenk-behind-the-curtain	37:12	The change is political rather than a matter of blackmail: Arab leaders have told him the last American president to give the Arabs a fair shake was George H. W. Bush, and successive Zionist administrations plus AIPAC pressure on Capitol Hill have chipped away until disagreeing with Netanyahu personally is called antisemitism.	they've gotten us to the point where if you disagree with Benjamin Netanyahu as a person you are labeled as anti-Semitic
