type	target	minutes	show	title
youtube	1p_B72s6Ix0	114	PBD Podcast	#783 — Ex-CIA Officer Confronted Over Zionist Accusations
youtube	vcgJXirykZE	147	Danny Jones	#249 — Trump Assassination Attempt (John is co-guest w/ Matt Cox ✓)
youtube	sWucl8ZRiK8	76	Michael Franzese	Iran, Israel & Epstein Are All Connected
youtube	drZH5_d9Xg0	43	The Matan Show	Matan Confronts Kiriakou (Israel)
youtube	C4Hz6bUAiHI	34	Byrna	How to Spot Danger Before It's Too Late
youtube	Y1E8EypwzPA	44	Kevin Gosztola (Unauthorized Disclosure)	Kevin Gosztola (Unauthorized Disclosure)
youtube	J_GA5Wj3-94	12	Kim Iversen	Why Abolishing The CIA Won't Change Anything
youtube	zssCchYDO5A	60	Jack Hopkins	Inside the Mind of a CIA Whistleblower
youtube	4V5GlZ4IodQ	45	Dialogue Works	Charlie Kirk's Story Crumbles — Iran
youtube	PA2Sh1zpgfU	50	Dialogue Works	Charlie Kirk's Story Cracks — Hegseth
youtube	Z-qsocM6Khc	34	American Exception	CIA Veterans & Deep State (w/ Barry Eisler)
youtube	GaiyVMRGE0M	17	VICE News	The Government Turned Me Into a Dissident
youtube	5JUqRcpwkS0	16	The Zero Hour (RJ Eskow)	The Zero Hour (RJ Eskow)
youtube	Ndpaua_S5lg	14	Jared Leto (Beyond the Horizon)	Jared Leto (Beyond the Horizon)
youtube	G4nd6oOC4iU	25	The Grayzone (Parampil)	Pay for pardons? Trump's final flop
youtube	DZh9W-TWV1o	20	David Pakman Show	Rudy & Trump offered me a pardon for $2M
youtube	7i5osl-M9do	39	The Sharpe Exchange	REVEALS the Dark Reality of Intel Ops
youtube	wVQjgd1Tqz4	84	Useful Idiots (Halper & Maté)	"They DESTROYED Epstein Files"
youtube	SBCSSQ0bpBA	27	TRT World — The InnerView	The CIA spy who blew the whistle on torture
youtube	nJ6yjjr1ogA	23	Judging Freedom	Iranian Retaliation Strikes the CIA
youtube	TGvgUl7geeM	26	Ron Paul Liberty Report	Ron Paul Liberty Report
youtube	YeBIRH9VlBQ	17	Democracy Now!	Sentenced to Prison While Torturers Walk Free
youtube	dAmdo2MzzhE	12	Democracy Now!	Blowing the Whistle / Why Trump Worries Him
youtube	fX2YMB6dWJw	11	TEDx FoggyBottom	How I Became a CIA Whistleblower
youtube	_CFWmuIgQIE	137	?	#278 — MK Ultra, USAID, Overthrowing Governments
youtube	scrGRKVa-Q4	163	?	#279 — Epstein, Bin Laden, China & Israel
youtube	F3MFGJFh4Ps	197	?	#356 — Nuclear War, Vault 7, Mossad in Iran
youtube	vmDn8YzxVeQ	187	?	#388 — "Epstein LIES!" Satanic Elite, Mossad
youtube	OCtooapE9Ho	155	?	Kiriakou Takes Ana & Cenk Behind the Curtain
youtube	72EuwXMxSAQ	92	?	Ex-CIA Officer Exposes the Torture Program
youtube	eIfwisOJH1E	72	?	The Untold Stories of John Kiriakou
youtube	PKficzm5-8g	72	The Pocket (Chris Griffin)	"Never Trust the Government" (resolves a Batch-4 lead)
youtube	mP17LjLLXhk	58	?	How CIA's "Rogue" Agent Survived Prison (probe vs 2022 ep)
youtube	6kmi7Tkpf7Q	48	?	Fortress On A Hill (Henri)
youtube	cEa_k3SAguU	43	?	Wall Of Power Radio Hour w/ Kiriakou
youtube	bKx-CsyO_zI	37	?	Part 2: How Well Do You Really Know Him?
youtube	rzDSowz83y8	36	?	Ep.82 — Choosing Truth Over Career
youtube	GmDLt0eVZJc	36	?	Talks With Kiriakou About the Assange Extradition
youtube	V6eXin4Blys	35	?	Kiriakou on the CIA, Obama vs Trump
youtube	N0SqIILhQN4	38	?	Kiriakou & Nixon on the Latest Assange News
youtube	Eyt8t7fVjlE	38	?	"Epstein Was an Access Agent for Mossad"
youtube	lBBVyHHIWwU	32	?	Reveals All About US Involvement in Syria
youtube	nQZGD1d9aeI	32	?	A CIA Whistleblower Speaks
youtube	JKpyBR-tmuk	33	?	When Will Israel Attack Iran?
youtube	Trdw3Ykm53Y	28	?	"Pakistan Can't Win a Conventional War Against India"
youtube	mfsdrNvEuL8	27	?	The Scholars: John Kiriakou
youtube	Ef--cDAHlp8	24	?	London report on the Assange extradition hearing
youtube	pHGVgw3MTbc	23	?	Mossad's Deadly Tactic in Iran
youtube	6Dc3VQJIJRw	28	?	The Bitter Truth (Abe Abdelhadi)
youtube	wg-aHgwFdCY	31	?	What Julian Assange Is Up Against
youtube	kE1X4X9Eezc	17	Democracy Now!	John Brennan a "Terrible Choice to Lead the CIA"
youtube	UV4Cd-9lJA8	15	Democracy Now!	Jeff Sessions Is Extending Obama's War on Leaks
youtube	4eWtn8RQ9_g	16	?	CN LIVE! Kiriakou on the Upcoming 9/11 Trial
youtube	CiRyux1t9TQ	18	?	The CIA Is the Greatest Threat to the Planet
youtube	FUGHG0Yy6BA	16	?	How Epstein Was Used by Mossad, CIA & MI6
youtube	ozUzW_3pBcw	15	?	What Will Happen to Julian Assange
youtube	6aDKlkV4G2A	16	?	Spy Diaries Ep 01 — Hunted Al-Qaeda in Pakistan
youtube	WEKxuNFf308	16	?	Spy Diaries — Jailed for Exposing the CIA
youtube	xJ-wWaoF9iw	34	Scott Horton	Ep 5610 — The Torture of Abu Zubaydah
youtube	v8zrgfI0QvU	36	Scott Horton	Ep 4510 — CIA Torture Network & Whistleblowing
youtube	UXfZPr-fRB8	40	Scott Horton	Ep 4439 — Torture Program & His Time in Prison
youtube	9D7u9ElyjZQ	36	Scott Horton	Ep 4629 — Gina Haspel's Nomination
youtube	Ke04A5kj9PU	31	Scott Horton	Ep 5050 — Deep State's Search for a 'Russiagate' Scalp
youtube	_zGMFZ1Kgww	33	?	Ep 5458 — The Dangerous Reaction
youtube	8fcQ4ObATRc	30	Scott Horton	Aug 14 2015 — The Scott Horton Show
youtube	x0fzn4Ur3ZU	125	Opperman Report	John Kiriakou - Reluctant Spy
youtube	nlcNzPkfo6M	119	Opperman Report	Pt1 Reluctant Spy / Pt2 Michael Bowe (probe: 2-part)
youtube	kYm__RK8-9g	102	Disruption Network Lab	US vs. Reality Winner: Q&A w/ Reality Winner, Kiriakou
youtube	2WA64yu3itQ	101	Consortium News	Lies, Spin, Propaganda & Manipulation (w/ Suelette Dreyfus)
youtube	tOxuJ8bpSv4	98	Disruption Network Lab	Locked up for Exposing Crimes · Kiriakou & Annie Machon
youtube	kEymiIyDJx0	82	Consortium News	Matt Taibbi, Chris Hedges & Kiriakou: TWITTER FILES
youtube	P7VpWZaer3I	72	Live on the Fly (Randy Credico)	Ellsberg, Kiriakou & Rowley: Hail to the Whistleblower
youtube	FZO4p1ag9LQ	69	Live on the Fly (Randy Credico)	Kiriakou & Rebecca Vincent: Assange Countdown to Freedom
youtube	svND9fNBiAw	60	Piers Morgan Uncensored	"You Don't Stand Up To Evil, You LOSE!" — Iran
youtube	g2htCOU-tTw	59	Dialogue Works	Putin Warns Staggering Response to NATO — Iran
